booking_id,room_id,service_id,booking_date,start_time,end_time,booked_duration_minutes,booking_status,cancellation_flag,no_show_flag,actual_attendance_count,planned_attendance_count,session_type,created_date
BOOK-000001,ROOM-0025,SVC-001,2024-11-08,16:30,17:30,60,completed,false,false,5,6,clinic,2024-10-24
BOOK-000002,ROOM-0019,SVC-002,2024-12-30,10:00,11:00,60,completed,false,false,6,7,clinic,2024-12-14
BOOK-000003,ROOM-0021,SVC-003,2024-11-05,10:00,11:00,60,completed,false,false,6,8,diagnostic,2024-10-19
BOOK-000004,ROOM-0008,SVC-004,2025-10-29,10:00,11:00,60,cancelled,true,false,0,8,therapy,2025-10-11
BOOK-000005,ROOM-0035,SVC-005,2025-11-07,13:30,14:30,60,completed,false,false,10,12,administrative,2025-10-19
BOOK-000006,ROOM-0030,SVC-006,2024-12-23,16:30,17:30,60,completed,false,false,11,11,clinic,2024-12-03
BOOK-000007,ROOM-0007,SVC-007,2024-07-18,10:00,11:00,60,cancelled,true,false,0,11,clinic,2024-06-27
BOOK-000008,ROOM-0016,SVC-008,2024-08-13,13:30,14:30,60,completed,false,false,10,12,administrative,2024-07-22
BOOK-000009,ROOM-0041,SVC-009,2024-11-26,10:00,11:00,60,completed,false,false,14,15,administrative,2024-11-03
BOOK-000010,ROOM-0021,SVC-010,2026-01-09,15:00,16:00,60,completed,false,false,6,6,diagnostic,2025-12-16
BOOK-000011,ROOM-0050,SVC-011,2024-05-28,13:30,14:30,60,completed,false,false,6,6,therapy,2024-05-03
BOOK-000012,ROOM-0028,SVC-012,2025-11-13,15:00,16:00,60,cancelled,true,false,0,8,administrative,2025-10-18
BOOK-000013,ROOM-0001,SVC-001,2024-05-08,16:30,17:30,60,completed,false,false,6,8,clinic,2024-04-11
BOOK-000014,ROOM-0001,SVC-002,2025-04-25,16:30,17:30,60,completed,false,false,7,9,clinic,2025-03-28
BOOK-000015,ROOM-0003,SVC-003,2024-06-18,11:30,12:30,60,completed,false,false,10,10,diagnostic,2024-05-20
BOOK-000016,ROOM-0020,SVC-004,2025-09-19,08:30,09:30,60,cancelled,true,false,0,11,therapy,2025-08-20
BOOK-000017,ROOM-0053,SVC-005,2025-03-10,10:00,11:00,60,completed,false,false,10,12,administrative,2025-02-07
BOOK-000018,ROOM-0018,SVC-006,2024-06-07,16:30,17:30,60,completed,false,false,3,5,clinic,2024-05-06
BOOK-000019,ROOM-0025,SVC-007,2026-02-12,11:30,12:30,60,completed,false,false,6,6,clinic,2026-01-10
BOOK-000020,ROOM-0040,SVC-008,2025-07-09,11:30,12:30,60,completed,false,false,6,6,administrative,2025-06-05
BOOK-000021,ROOM-0029,SVC-009,2025-09-19,16:30,17:30,60,completed,false,true,0,15,administrative,2025-08-15
BOOK-000022,ROOM-0015,SVC-010,2025-02-04,16:30,17:30,60,completed,false,false,9,9,diagnostic,2024-12-30
BOOK-000023,ROOM-0026,SVC-011,2025-09-09,10:00,11:00,60,completed,false,false,9,9,therapy,2025-08-03
BOOK-000024,ROOM-0004,SVC-012,2024-08-13,10:00,11:00,60,cancelled,true,false,0,10,administrative,2024-07-06
BOOK-000025,ROOM-0049,SVC-001,2024-11-19,16:30,17:30,60,cancelled,true,false,16,12,clinic,2024-10-11
BOOK-000026,ROOM-0001,SVC-002,2025-08-19,13:30,14:30,60,completed,false,false,12,12,clinic,2025-07-10
BOOK-000027,ROOM-0009,SVC-003,2026-02-09,15:00,16:00,60,completed,false,false,3,5,diagnostic,2025-12-30
BOOK-000028,ROOM-0020,SVC-004,2026-03-02,08:30,09:30,60,completed,false,false,5,5,therapy,2026-02-16
BOOK-000029,ROOM-0047,SVC-005,2025-08-27,08:30,09:30,60,completed,false,false,11,12,administrative,2025-08-12
BOOK-000030,ROOM-0030,SVC-006,2025-01-10,08:30,09:30,60,cancelled,true,false,0,8,clinic,2024-12-25
BOOK-000031,ROOM-0019,SVC-007,2025-04-16,15:00,16:00,60,completed,false,false,6,8,clinic,2025-03-30
BOOK-000032,ROOM-0022,SVC-008,2025-01-28,11:30,12:30,60,cancelled,true,false,0,10,administrative,2025-01-10
BOOK-000033,ROOM-0047,SVC-009,2026-01-28,13:30,14:30,60,completed,false,false,14,15,administrative,2026-01-09
BOOK-000034,ROOM-0027,SVC-010,2024-11-25,11:30,12:30,60,cancelled,true,false,0,12,diagnostic,2024-11-05
BOOK-000035,ROOM-0038,SVC-011,2026-02-11,08:30,09:30,60,completed,false,true,0,13,therapy,2026-01-21
BOOK-000036,ROOM-0016,SVC-012,2025-03-14,11:30,12:30,60,completed,false,false,4,4,administrative,2025-02-20
BOOK-000037,ROOM-0007,SVC-001,2024-05-29,16:30,17:30,60,completed,false,false,3,5,clinic,2024-05-06
BOOK-000038,ROOM-0049,SVC-002,2025-01-09,11:30,12:30,60,completed,false,false,6,7,clinic,2024-12-16
BOOK-000039,ROOM-0027,SVC-003,2026-03-26,16:30,17:30,60,completed,false,false,7,7,diagnostic,2026-03-01
BOOK-000040,ROOM-0002,SVC-004,2025-10-24,10:00,11:00,60,completed,false,false,6,8,therapy,2025-09-28
BOOK-000041,ROOM-0017,SVC-005,2025-05-07,13:30,14:30,60,completed,false,false,10,12,administrative,2025-04-10
BOOK-000042,ROOM-0030,SVC-006,2024-12-06,16:30,17:30,60,completed,false,false,11,11,clinic,2024-11-08
BOOK-000043,ROOM-0049,SVC-007,2024-04-25,15:00,16:00,60,completed,false,false,11,11,clinic,2024-03-27
BOOK-000044,ROOM-0022,SVC-008,2024-12-30,10:00,11:00,60,completed,false,false,12,13,administrative,2024-11-30
BOOK-000045,ROOM-0005,SVC-009,2025-10-14,08:30,09:30,60,completed,false,false,13,15,administrative,2025-09-13
BOOK-000046,ROOM-0021,SVC-010,2025-05-02,11:30,12:30,60,completed,false,false,5,5,diagnostic,2025-03-31
BOOK-000047,ROOM-0020,SVC-011,2024-04-04,11:30,12:30,60,completed,false,false,5,6,therapy,2024-03-02
BOOK-000048,ROOM-0010,SVC-012,2025-06-03,16:30,17:30,60,completed,false,false,6,7,administrative,2025-04-30
BOOK-000049,ROOM-0025,SVC-001,2025-07-15,10:00,11:00,60,completed,false,false,8,8,clinic,2025-06-10
BOOK-000050,ROOM-0031,SVC-002,2024-04-26,16:30,17:30,60,completed,false,false,7,9,clinic,2024-03-21
BOOK-000051,ROOM-0027,SVC-003,2025-05-26,10:00,11:00,60,completed,false,false,9,10,diagnostic,2025-04-19
BOOK-000052,ROOM-0008,SVC-004,2025-06-30,13:30,14:30,60,completed,false,false,11,11,therapy,2025-05-23
BOOK-000053,ROOM-0023,SVC-005,2024-06-19,15:00,16:00,60,completed,false,false,11,12,administrative,2024-05-11
BOOK-000054,ROOM-0030,SVC-006,2026-03-10,11:30,12:30,60,completed,false,false,4,5,clinic,2026-01-29
BOOK-000055,ROOM-0019,SVC-007,2025-10-31,15:00,16:00,60,completed,false,false,4,5,clinic,2025-09-20
BOOK-000056,ROOM-0022,SVC-008,2026-02-27,13:30,14:30,60,completed,false,false,6,7,administrative,2026-02-13
BOOK-000057,ROOM-0041,SVC-009,2025-10-30,08:30,09:30,60,completed,false,false,13,15,administrative,2025-10-15
BOOK-000058,ROOM-0027,SVC-010,2024-10-21,10:00,11:00,60,completed,false,false,8,8,diagnostic,2024-10-05
BOOK-000059,ROOM-0044,SVC-011,2025-10-27,11:30,12:30,60,completed,false,false,9,9,therapy,2025-10-10
BOOK-000060,ROOM-0040,SVC-012,2025-01-06,08:30,09:30,60,completed,false,false,10,11,administrative,2024-12-19
BOOK-000061,ROOM-0013,SVC-001,2025-03-19,13:30,14:30,60,completed,false,true,0,11,clinic,2025-02-28
BOOK-000062,ROOM-0031,SVC-002,2025-07-21,11:30,12:30,60,completed,false,false,12,12,clinic,2025-07-01
BOOK-000063,ROOM-0045,SVC-003,2025-05-21,10:00,11:00,60,completed,false,false,3,4,diagnostic,2025-04-30
BOOK-000064,ROOM-0002,SVC-004,2024-10-08,10:00,11:00,60,completed,false,false,3,5,therapy,2024-09-16
BOOK-000065,ROOM-0041,SVC-005,2026-02-25,08:30,09:30,60,completed,false,false,12,12,administrative,2026-02-02
BOOK-000066,ROOM-0036,SVC-006,2025-03-27,11:30,12:30,60,completed,false,true,0,7,clinic,2025-03-03
BOOK-000067,ROOM-0037,SVC-007,2024-05-06,16:30,17:30,60,completed,false,false,7,8,clinic,2024-04-11
BOOK-000068,ROOM-0028,SVC-008,2025-05-26,08:30,09:30,60,completed,false,false,7,9,administrative,2025-04-30
BOOK-000069,ROOM-0041,SVC-009,2025-11-14,10:00,11:00,60,completed,false,false,15,15,administrative,2025-10-18
BOOK-000070,ROOM-0003,SVC-010,2024-09-18,08:30,09:30,60,completed,false,false,10,11,diagnostic,2024-08-21
BOOK-000071,ROOM-0020,SVC-011,2024-09-02,10:00,11:00,60,completed,false,false,12,12,therapy,2024-08-04
BOOK-000072,ROOM-0034,SVC-012,2024-08-29,10:00,11:00,60,completed,false,false,3,4,administrative,2024-07-30
BOOK-000073,ROOM-0031,SVC-001,2025-05-08,16:30,17:30,60,completed,false,false,5,5,clinic,2025-04-07
