activity_id,service_id,room_id,activity_date,appointment_type,scheduled_contacts,completed_contacts,face_to_face_contacts,remote_contacts,did_not_attend_count,cancelled_contacts,average_contact_duration_minutes,activity_source
ACT-00001,SVC-001,ROOM-0001,2024-05-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
ACT-00002,SVC-001,ROOM-0001,2024-06-01,follow_up,5,5,4,1,0,0,30,synthetic_booking_summary
ACT-00003,SVC-001,ROOM-0001,2024-07-01,follow_up,11,10,8,2,0,0,30,synthetic_booking_summary
ACT-00004,SVC-001,ROOM-0001,2025-01-01,follow_up,12,11,9,2,0,0,30,synthetic_booking_summary
ACT-00005,SVC-001,ROOM-0001,2025-02-01,follow_up,6,5,4,1,0,0,30,synthetic_booking_summary
ACT-00006,SVC-001,ROOM-0001,2025-03-01,follow_up,16,16,13,3,0,0,30,synthetic_booking_summary
ACT-00007,SVC-001,ROOM-0001,2025-09-01,follow_up,8,7,6,1,0,0,30,synthetic_booking_summary
ACT-00008,SVC-001,ROOM-0001,2026-03-01,follow_up,21,18,15,3,0,0,30,synthetic_booking_summary
ACT-00009,SVC-001,ROOM-0007,2024-04-01,follow_up,5,3,3,0,0,0,30,synthetic_booking_summary
ACT-00010,SVC-001,ROOM-0007,2024-05-01,follow_up,16,13,11,2,0,0,30,synthetic_booking_summary
ACT-00011,SVC-001,ROOM-0007,2024-12-01,follow_up,12,12,10,2,0,0,30,synthetic_booking_summary
ACT-00012,SVC-001,ROOM-0007,2025-01-01,follow_up,9,8,7,1,0,0,30,synthetic_booking_summary
ACT-00013,SVC-001,ROOM-0007,2025-02-01,follow_up,9,7,6,1,0,0,30,synthetic_booking_summary
ACT-00014,SVC-001,ROOM-0007,2025-03-01,follow_up,5,4,4,0,0,0,30,synthetic_booking_summary
ACT-00015,SVC-001,ROOM-0007,2025-09-01,follow_up,8,0,0,0,8,0,30,synthetic_booking_summary
ACT-00016,SVC-001,ROOM-0007,2025-10-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
ACT-00017,SVC-001,ROOM-0007,2025-11-01,follow_up,9,0,0,0,0,9,30,synthetic_booking_summary
ACT-00018,SVC-001,ROOM-0007,2025-12-01,follow_up,24,22,18,4,0,0,30,synthetic_booking_summary
ACT-00019,SVC-001,ROOM-0007,2026-01-01,follow_up,12,10,8,2,0,0,30,synthetic_booking_summary
ACT-00020,SVC-001,ROOM-0013,2024-05-01,follow_up,11,9,8,1,0,0,30,synthetic_booking_summary
ACT-00021,SVC-001,ROOM-0013,2024-07-01,follow_up,13,3,3,0,0,8,30,synthetic_booking_summary
ACT-00022,SVC-001,ROOM-0013,2024-08-01,follow_up,16,15,12,3,0,0,30,synthetic_booking_summary
ACT-00023,SVC-001,ROOM-0013,2024-12-01,follow_up,9,9,8,1,0,0,30,synthetic_booking_summary
ACT-00024,SVC-001,ROOM-0013,2025-01-01,follow_up,9,9,8,1,0,0,30,synthetic_booking_summary
ACT-00025,SVC-001,ROOM-0013,2025-03-01,follow_up,11,0,0,0,11,0,30,synthetic_booking_summary
ACT-00026,SVC-001,ROOM-0019,2024-04-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
ACT-00027,SVC-001,ROOM-0019,2024-06-01,follow_up,8,6,5,1,0,0,30,synthetic_booking_summary
