finance_record_id,building_id,financial_year,lease_cost,maintenance_cost,utility_cost,security_cost,cleaning_cost,business_rates,planned_capital_cost,exit_cost,relocation_cost
FIN-00001,BLD-001,2023/24,0,173600,136400,30400,68200,55800,0,0,0
FIN-00002,BLD-002,2023/24,1250,35280,39600,21600,19800,16200,0,0,0
FIN-00003,BLD-003,2023/24,0,98280,57200,23200,28600,23400,67500,0,0
FIN-00004,BLD-004,2023/24,90200,55440,24200,20200,12100,9900,90000,0,0
FIN-00005,BLD-005,2023/24,0,117600,92400,26400,46200,37800,0,0,0
FIN-00006,BLD-006,2023/24,128250,35910,20900,19900,10450,8550,67500,0,0
FIN-00007,BLD-007,2023/24,0,58800,46200,22200,23100,18900,0,0,0
FIN-00008,BLD-008,2023/24,113400,27440,30800,20800,15400,12600,0,0,0
FIN-00009,BLD-001,2024/25,0,173600,136400,30400,68200,55800,0,0,0
FIN-00010,BLD-002,2024/25,199800,35280,39600,21600,19800,16200,0,0,0
FIN-00011,BLD-003,2024/25,0,98280,57200,23200,28600,23400,67500,0,0
FIN-00012,BLD-004,2024/25,90200,55440,24200,20200,12100,9900,90000,0,0
FIN-00013,BLD-005,2024/25,0,117600,92400,26400,46200,37800,0,0,0
FIN-00014,BLD-006,2024/25,128250,35910,20900,19900,10450,8550,67500,0,0
FIN-00015,BLD-007,2024/25,0,58800,46200,22200,23100,18900,0,0,0
FIN-00016,BLD-008,2024/25,113400,27440,30800,20800,15400,12600,0,0,0
FIN-00017,BLD-001,2025/26,0,173600,136400,30400,68200,55800,0,0,0
FIN-00018,BLD-002,2025/26,199800,35280,39600,21600,19800,16200,0,25000,15000
FIN-00019,BLD-003,2025/26,0,98280,57200,23200,28600,23400,67500,0,0
FIN-00020,BLD-004,2025/26,90200,55440,24200,20200,12100,9900,90000,25000,15000
FIN-00021,BLD-005,2025/26,0,117600,92400,26400,46200,37800,0,0,0
FIN-00022,BLD-006,2025/26,128250,35910,20900,19900,10450,8550,67500,25000,15000
FIN-00023,BLD-007,2025/26,0,58800,46200,22200,23100,18900,0,0,0
FIN-00024,BLD-008,2025/26,113400,27440,30800,20800,15400,12600,0,25000,15000
