room_id,building_id,room_name,room_type,capacity,specialist_equipment,accessible_flag,opening_time,closing_time,available_hours_per_week,protected_capacity_flag,active_flag
ROOM-0001,BLD-001,Consultation 1,consultation,4,,true,07:30,19:00,57.5,false,true
ROOM-0002,BLD-002,Treatment 8,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0003,BLD-003,Diagnostic 3,diagnostic,7,ultrasound,true,08:00,18:00,50,true,true
ROOM-0004,BLD-004,Office 4,office,8,,true,08:00,18:00,50,false,true
ROOM-0005,BLD-005,Meeting 5,meeting,19,,true,07:30,19:00,57.5,false,true
ROOM-0006,BLD-006,Specialist 6,specialist,8,shielded_treatment_bay,false,08:00,18:00,50,false,true
ROOM-0007,BLD-007,Consultation 7,consultation,4,,true,08:00,18:00,50,false,true
ROOM-0008,BLD-008,Treatment 8,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0009,BLD-001,Diagnostic 9,diagnostic,7,ultrasound,true,07:30,19:00,57.5,true,true
ROOM-0010,BLD-002,Office 1,office,8,,true,08:00,18:00,50,false,true
ROOM-0011,BLD-003,Meeting 2,meeting,19,,false,08:00,18:00,50,false,true
ROOM-0012,BLD-004,Specialist 3,specialist,8,shielded_treatment_bay,true,08:00,18:00,50,false,true
ROOM-0013,BLD-005,Consultation 4,consultation,4,,true,07:30,19:00,57.5,false,true
ROOM-0014,BLD-006,Treatment 5,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0015,BLD-007,Diagnostic 6,diagnostic,7,ultrasound,true,08:00,18:00,50,true,true
ROOM-0016,BLD-008,Office 7,office,8,,true,08:00,18:00,50,false,true
ROOM-0017,BLD-001,Meeting 8,meeting,19,,true,07:30,19:00,57.5,false,true
ROOM-0018,BLD-002,Specialist 9,specialist,8,,true,08:00,18:00,50,false,true
ROOM-0019,BLD-003,Consultation 1,consultation,4,,true,08:00,18:00,50,false,true
ROOM-0020,BLD-004,Treatment 2,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0021,BLD-005,Diagnostic 3,diagnostic,7,ultrasound,true,07:30,19:00,57.5,true,true
ROOM-0022,BLD-006,Office 4,office,8,,true,08:00,18:00,50,false,true
ROOM-0023,BLD-007,Meeting 5,meeting,19,,true,08:00,18:00,50,false,true
ROOM-0024,BLD-008,Specialist 6,specialist,8,shielded_treatment_bay,true,08:00,18:00,50,false,true
ROOM-0025,BLD-001,Consultation 7,consultation,4,,true,07:30,19:00,57.5,false,true
ROOM-0026,BLD-002,Treatment 8,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0027,BLD-003,Diagnostic 9,diagnostic,7,ultrasound,true,08:00,18:00,50,true,true
ROOM-0028,BLD-004,Office 1,office,8,,true,08:00,18:00,50,false,true
ROOM-0029,BLD-005,Meeting 2,meeting,19,,true,07:30,19:00,57.5,false,true
ROOM-0030,BLD-006,Specialist 3,specialist,8,shielded_treatment_bay,true,08:00,18:00,50,false,true
ROOM-0031,BLD-007,Consultation 4,consultation,4,,false,08:00,18:00,50,false,true
ROOM-0032,BLD-008,Treatment 5,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0033,BLD-001,Diagnostic 6,diagnostic,7,ultrasound,true,07:30,19:00,57.5,true,true
ROOM-0034,BLD-002,Office 7,office,8,,true,08:00,18:00,50,false,true
ROOM-0035,BLD-003,Meeting 8,meeting,19,,true,08:00,18:00,50,false,true
ROOM-0036,BLD-004,Specialist 9,specialist,8,shielded_treatment_bay,true,08:00,18:00,50,false,true
ROOM-0037,BLD-005,Consultation 1,consultation,4,,true,07:30,19:00,57.5,false,true
ROOM-0038,BLD-006,Treatment 2,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0039,BLD-007,Diagnostic 3,diagnostic,7,ultrasound,true,08:00,18:00,50,true,true
ROOM-0040,BLD-008,Office 4,office,8,,true,08:00,18:00,50,false,true
ROOM-0041,BLD-001,Meeting 5,meeting,19,,true,07:30,19:00,57.5,false,true
ROOM-0042,BLD-002,Specialist 6,specialist,8,shielded_treatment_bay,true,08:00,18:00,50,false,true
ROOM-0043,BLD-003,Consultation 7,consultation,4,,true,08:00,18:00,50,false,true
ROOM-0044,BLD-004,Treatment 8,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0045,BLD-005,Diagnostic 9,diagnostic,7,ultrasound,true,07:30,19:00,57.5,true,true
ROOM-0046,BLD-006,Office 1,office,8,,false,08:00,18:00,50,false,true
ROOM-0047,BLD-007,Meeting 2,meeting,19,,true,08:00,18:00,50,false,true
ROOM-0048,BLD-008,Specialist 3,specialist,8,shielded_treatment_bay,true,08:00,18:00,50,false,true
ROOM-0049,BLD-001,Consultation 4,consultation,4,,true,07:30,19:00,57.5,false,true
ROOM-0050,BLD-002,Treatment 5,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
ROOM-0051,BLD-003,Diagnostic 6,diagnostic,7,ultrasound,false,08:00,18:00,50,true,true
ROOM-0052,BLD-004,Office 7,office,8,,true,08:00,18:00,50,false,true
ROOM-0053,BLD-005,Meeting 8,meeting,19,,true,07:30,19:00,57.5,false,true
ROOM-0054,BLD-006,Specialist 9,specialist,8,shielded_treatment_bay,true,08:00,18:00,50,false,true
ROOM-0055,BLD-007,Consultation 1,consultation,4,,true,08:00,18:00,50,false,true
ROOM-0056,BLD-008,Treatment 2,treatment,7,minor_procedure_couch,true,08:00,18:00,50,false,true
