workforce_record_id,service_id,site_id,record_date,staff_group,planned_fte,available_fte,absence_rate,remote_working_rate,session_capacity,vacancy_rate
WRK-00001,SVC-001,SITE-01,2024-04-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00002,SVC-002,SITE-02,2024-04-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00003,SVC-003,SITE-03,2024-04-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00004,SVC-004,SITE-04,2024-04-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00005,SVC-005,SITE-01,2024-04-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00006,SVC-006,SITE-02,2024-04-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00007,SVC-007,SITE-03,2024-04-01,nursing,3.6,4,0.04,0.07,28,0.04
WRK-00008,SVC-008,SITE-04,2024-04-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00009,SVC-009,SITE-01,2024-04-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00010,SVC-010,SITE-02,2024-04-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00011,SVC-011,SITE-03,2024-04-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00012,SVC-012,SITE-04,2024-04-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00013,SVC-001,SITE-01,2024-05-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00014,SVC-002,SITE-02,2024-05-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00015,SVC-003,SITE-03,2024-05-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00016,SVC-004,SITE-04,2024-05-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00017,SVC-005,SITE-01,2024-05-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00018,SVC-006,SITE-02,2024-05-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00019,SVC-007,SITE-03,2024-05-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00020,SVC-008,SITE-04,2024-05-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00021,SVC-009,SITE-01,2024-05-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00022,SVC-010,SITE-02,2024-05-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00023,SVC-011,SITE-03,2024-05-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00024,SVC-012,SITE-04,2024-05-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00025,SVC-001,SITE-01,2024-06-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00026,SVC-002,SITE-02,2024-06-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00027,SVC-003,SITE-03,2024-06-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00028,SVC-004,SITE-04,2024-06-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00029,SVC-005,SITE-01,2024-06-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00030,SVC-006,SITE-02,2024-06-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00031,SVC-007,SITE-03,2024-06-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00032,SVC-008,SITE-04,2024-06-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00033,SVC-009,SITE-01,2024-06-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00034,SVC-010,SITE-02,2024-06-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00035,SVC-011,SITE-03,2024-06-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00036,SVC-012,SITE-04,2024-06-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00037,SVC-001,SITE-01,2024-07-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00038,SVC-002,SITE-02,2024-07-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00039,SVC-003,SITE-03,2024-07-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00040,SVC-004,SITE-04,2024-07-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00041,SVC-005,SITE-01,2024-07-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00042,SVC-006,SITE-02,2024-07-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00043,SVC-007,SITE-03,2024-07-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00044,SVC-008,SITE-04,2024-07-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00045,SVC-009,SITE-01,2024-07-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00046,SVC-010,SITE-02,2024-07-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00047,SVC-011,SITE-03,2024-07-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00048,SVC-012,SITE-04,2024-07-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00049,SVC-001,SITE-01,2024-08-01,medical,2,1.86,0.04,0.14,16,0.03
WRK-00050,SVC-002,SITE-02,2024-08-01,nursing,2.8,2.56,0.045,0.245,22,0.04
WRK-00051,SVC-003,SITE-03,2024-08-01,allied_health,3.6,3.24,0.05,0,28,0.05
WRK-00052,SVC-004,SITE-04,2024-08-01,administrative,4.4,3.96,0.04,0,35,0.06
WRK-00053,SVC-005,SITE-01,2024-08-01,technical,2,1.77,0.045,0.105,16,0.07
WRK-00054,SVC-006,SITE-02,2024-08-01,medical,2.8,2.58,0.05,0.035,22,0.03
WRK-00055,SVC-007,SITE-03,2024-08-01,nursing,3.6,3.31,0.04,0.07,28,0.04
WRK-00056,SVC-008,SITE-04,2024-08-01,allied_health,4.4,3.98,0.045,0.525,35,0.05
WRK-00057,SVC-009,SITE-01,2024-08-01,administrative,2,1.78,0.05,0.315,16,0.06
WRK-00058,SVC-010,SITE-02,2024-08-01,technical,2.8,2.49,0.04,0,22,0.07
WRK-00059,SVC-011,SITE-03,2024-08-01,medical,3.6,3.33,0.045,0,28,0.03
WRK-00060,SVC-012,SITE-04,2024-08-01,nursing,4.4,4,0.05,0.595,35,0.04
WRK-00061,SVC-001,SITE-01,2024-09-01,medical,2,1.86,0.04,0.14,16,0.03
